gene	Knum
NODE_29992_length_583_cov_2.294466_g22770_i0.p2	K00208
NODE_29994_length_582_cov_13753.091089_g4350_i5.p1	K16474
NODE_29996_length_582_cov_3243.360396_g826_i1.p2	K08121
NODE_29997_length_582_cov_2870.706931_g22773_i0.p1	K00079
NODE_29998_length_582_cov_2585.754455_g22774_i0.p1	K25138
NODE_29999_length_582_cov_1071.770297_g22775_i0.p1	K01869
NODE_2999_length_2988_cov_55.068018_g2016_i0.p1	K03491
NODE_299_length_6310_cov_182.846142_g179_i0.p1	K14720
NODE_299_length_6310_cov_182.846142_g179_i0.p1	K0564
NODE_29_length_13053_cov_1299.193280_g18_i2.p1	K10408
NODE_2_length_15363_cov_296.018906_g1_i0.p1	K10408
NODE_30000_length_582_cov_906.348515_g9830_i5.p1	K04257
NODE_30001_length_582_cov_403.023762_g22776_i0.p1	K03094
NODE_30002_length_582_cov_395.764356_g22777_i0.p1	K20283
NODE_30005_length_582_cov_148.065347_g22780_i0.p1	K25460
NODE_30006_length_582_cov_143.138614_g22781_i0.p1	K02156
NODE_30009_length_582_cov_24.441584_g22784_i0.p1	K04088
NODE_3000_length_2988_cov_48.675713_g1736_i2.p4	K01941
NODE_3000_length_2988_cov_48.675713_g1736_i2.p2	K03469
NODE_30011_length_582_cov_21.904950_g22786_i0.p2	K03857
NODE_30013_length_582_cov_14.641584_g22788_i0.p1	K13015
NODE_30014_length_582_cov_11.320792_g22789_i0.p1	K09490
NODE_30017_length_582_cov_5.859406_g22792_i0.p1	K01965
NODE_30018_length_582_cov_5.302970_g22793_i0.p2	K04043
NODE_30019_length_582_cov_5.156436_g22794_i0.p1	K11840
NODE_3001_length_2986_cov_1593.927810_g2017_i0.p2	K02183
NODE_3001_length_2986_cov_1593.927810_g2017_i0.p1	K22755
NODE_30023_length_582_cov_3.600000_g22798_i0.p1	K01647
NODE_30025_length_582_cov_3.287129_g22800_i0.p1	K06678
NODE_30028_length_582_cov_2.611881_g22803_i0.p1	K01972
NODE_3002_length_2986_cov_1398.120660_g2018_i0.p1	K20478
NODE_30031_length_582_cov_1.748515_g22806_i0.p2	K08720
NODE_30033_length_582_cov_1.564356_g22808_i0.p1	K05343
NODE_30034_length_581_cov_32458.753968_g22809_i0.p2	K1
NODE_30035_length_581_cov_9808.996032_g22810_i0.p1	K23664
NODE_30037_length_581_cov_5629.466270_g22812_i0.p1	K24817
NODE_30038_length_581_cov_5239.293651_g22813_i0.p1	K06669
NODE_3003_length_2986_cov_1370.545205_g2018_i1.p1	K20478
NODE_30040_length_581_cov_3405.240079_g22815_i0.p2	K12392
NODE_30041_length_581_cov_3081.785714_g22816_i0.p1	K06085
NODE_30042_length_581_cov_2847.448413_g22817_i0.p3	K08091
NODE_30043_length_581_cov_2790.611111_g22818_i0.p2	K12392
NODE_30044_length_581_cov_1505.861111_g22819_i0.p1	K12479
NODE_30045_length_581_cov_1503.674603_g22819_i1.p1	K12479
NODE_30046_length_581_cov_1428.950397_g22820_i0.p1	K24498
NODE_30047_length_581_cov_1144.073413_g22821_i0.p1	K17592
NODE_30048_length_581_cov_609.835317_g22822_i0.p1	K24498
NODE_30049_length_581_cov_562.853175_g22823_i0.p1	K11436
NODE_3004_length_2986_cov_1156.175662_g2019_i0.p1	K17975
NODE_30053_length_581_cov_337.962302_g22827_i0.p1	K25770
NODE_30054_length_581_cov_213.545635_g22828_i0.p1	K20276
NODE_30055_length_581_cov_57.781746_g22829_i0.p1	K00043
NODE_30058_length_581_cov_39.503968_g22832_i0.p1	K03553
NODE_30059_length_581_cov_21.357143_g22833_i0.p1	K08711
NODE_3005_length_2985_cov_969.622765_g2020_i0.p2	K03811
NODE_30060_length_581_cov_18.797619_g22834_i0.p2	K10587
NODE_30061_length_581_cov_16.839286_g22835_i0.p1	K24091
NODE_30063_length_581_cov_4.293651_g22837_i0.p1	K23379
NODE_30065_length_581_cov_3.716270_g22839_i0.p1	K11749
NODE_30069_length_581_cov_2.105159_g22843_i0.p1	K00365
NODE_3006_length_2985_cov_43.430536_g2021_i0.p1	K02012
NODE_30074_length_580_cov_5363.550696_g22848_i0.p1	K16506
NODE_30077_length_580_cov_1546.324056_g22851_i0.p1	K24943
NODE_30078_length_580_cov_981.815109_g22852_i0.p1	K01279
NODE_30079_length_580_cov_799.823062_g22853_i0.p1	K18707
NODE_3007_length_2984_cov_6749.176815_g2022_i0.p1	K22182
NODE_3007_length_2984_cov_6749.176815_g2022_i0.p4	K09584
NODE_30080_length_580_cov_573.449304_g22854_i0.p1	K12867
NODE_30081_length_580_cov_178.423459_g22855_i0.p1	K16482
NODE_30082_length_580_cov_105.536779_g22856_i0.p1	K22459
NODE_30083_length_580_cov_51.415507_g22857_i0.p1	K02519
NODE_30084_length_580_cov_46.439364_g22858_i0.p1	K19761
NODE_30086_length_580_cov_19.246521_g22860_i0.p1	K11970
NODE_30089_length_580_cov_14.419483_g22863_i0.p1	K20283
NODE_30091_length_580_cov_10.769384_g22865_i0.p3	K20299
NODE_30092_length_580_cov_8.544732_g22866_i0.p1	K12562
NODE_30094_length_580_cov_7.220676_g22868_i0.p1	K04228
NODE_30096_length_580_cov_6.355865_g22870_i0.p1	K02004
NODE_30097_length_580_cov_5.616302_g22871_i0.p1	K13293
NODE_3009_length_2984_cov_2647.987616_g1356_i1.p1	K25808
NODE_3009_length_2984_cov_2647.987616_g1356_i1.p5	K14616
NODE_300_length_6298_cov_2635.486899_g100_i1.p1	K13849
NODE_300_length_6298_cov_2635.486899_g100_i1.p2	K04460
NODE_30101_length_580_cov_4.029821_g22875_i0.p1	K16694
NODE_30102_length_580_cov_3.994036_g22876_i0.p1	K04043
NODE_30105_length_580_cov_3.153082_g22879_i0.p1	K15505
NODE_30106_length_580_cov_3.089463_g22880_i0.p2	K01489
NODE_30107_length_580_cov_2.966203_g22881_i0.p1	K02519
NODE_3010_length_2983_cov_9723.115279_g2024_i0.p1	K13124
NODE_3010_length_2983_cov_9723.115279_g2024_i0.p7	K11904
NODE_3010_length_2983_cov_9723.115279_g2024_i0.p2	K01879
NODE_30113_length_579_cov_7800.256972_g22887_i0.p1	K07445
NODE_30114_length_579_cov_6690.330677_g22888_i0.p1	K19579
NODE_30115_length_579_cov_6136.260956_g22889_i0.p4	K03301
NODE_30116_length_579_cov_3142.205179_g22890_i0.p1	K09228
NODE_30117_length_579_cov_3109.958167_g22891_i0.p1	K24677
NODE_30118_length_579_cov_2041.525896_g22892_i0.p2	K00831
NODE_30119_length_579_cov_1291.364542_g22893_i0.p1	K22591
NODE_3011_length_2983_cov_241.565038_g1540_i4.p3	K20478
NODE_30120_length_579_cov_419.918327_g22894_i0.p1	K10119
NODE_30121_length_579_cov_378.191235_g22895_i0.p1	K03406
NODE_30122_length_579_cov_376.169323_g22896_i0.p1	K17268
NODE_30123_length_579_cov_337.382470_g22897_i0.p1	K00738
NODE_30124_length_579_cov_263.278884_g22898_i0.p1	K03018
NODE_30125_length_579_cov_215.051793_g22899_i0.p1	K03671
NODE_30126_length_579_cov_188.163347_g22900_i0.p1	K06507
NODE_30128_length_579_cov_121.729084_g22902_i0.p2	K08855
NODE_30129_length_579_cov_39.288845_g22903_i0.p2	K06058
NODE_3012_length_2982_cov_1995.194148_g2025_i0.p1	K01115
NODE_30130_length_579_cov_19.669323_g22904_i0.p1	K0806
NODE_30132_length_579_cov_12.749004_g22906_i0.p1	K15283
NODE_30133_length_579_cov_12.288845_g22907_i0.p1	K07462
NODE_30135_length_579_cov_9.151394_g22909_i0.p1	K00167
NODE_30136_length_579_cov_8.705179_g22910_i0.p1	K05641
NODE_30137_length_579_cov_7.956175_g22911_i0.p1	K04066
NODE_3013_length_2982_cov_627.049570_g2026_i0.p1	K13849
NODE_30141_length_579_cov_4.756972_g22915_i0.p4	K02078
NODE_30145_length_579_cov_3.703187_g22919_i0.p1	K16531
NODE_30146_length_579_cov_3.456175_g22920_i0.p1	K08714
NODE_30148_length_579_cov_2.420319_g22922_i0.p1	K02065
NODE_30149_length_579_cov_2.077689_g22923_i0.p1	K01868
NODE_3014_length_2982_cov_96.892255_g2027_i0.p2	K18953
NODE_3014_length_2982_cov_96.892255_g2027_i0.p1	K10823
NODE_30152_length_579_cov_1.876494_g22926_i0.p2	K10865
NODE_30153_length_579_cov_1.571713_g22927_i0.p2	K10393
NODE_30155_length_578_cov_7143.299401_g790_i5.p1	K12042
NODE_30156_length_578_cov_5966.107784_g790_i6.p1	K12042
NODE_30157_length_578_cov_3216.760479_g22929_i0.p1	K05658
NODE_30158_length_578_cov_1937.928144_g22930_i0.p2	K03469
NODE_30159_length_578_cov_1661.261477_g22931_i0.p2	K24498
NODE_3015_length_2982_cov_19.374527_g1986_i1.p2	K03469
NODE_30160_length_578_cov_1657.986028_g22932_i0.p2	K23544
NODE_30161_length_578_cov_1488.876248_g22933_i0.p1	K24498
NODE_30162_length_578_cov_1388.962076_g22934_i0.p2	K24498
NODE_30163_length_578_cov_1043.267465_g22935_i0.p2	K24498
NODE_30165_length_578_cov_603.457086_g22937_i0.p1	K11527
NODE_30166_length_578_cov_591.850299_g22938_i0.p1	K25218
NODE_30167_length_578_cov_500.828343_g22939_i0.p1	K12206
NODE_30169_length_578_cov_203.267465_g22941_i0.p1	K18468
NODE_30173_length_578_cov_66.986028_g22944_i0.p1	K00820
NODE_30174_length_578_cov_58.291417_g22945_i0.p1	K14684
NODE_30175_length_578_cov_46.894212_g22066_i1.p3	K03469
NODE_30176_length_578_cov_33.381238_g22946_i0.p3	K03527
NODE_30177_length_578_cov_26.572854_g22947_i0.p3	K22461
NODE_30178_length_578_cov_20.147705_g22948_i0.p1	K22128
NODE_30179_length_578_cov_19.756487_g22949_i0.p1	K04979
NODE_3017_length_2980_cov_5657.827075_g2029_i0.p2	K08183
NODE_3017_length_2980_cov_5657.827075_g2029_i0.p1	K00974
NODE_30180_length_578_cov_18.810379_g22950_i0.p1	K02541
NODE_30181_length_578_cov_17.407186_g22951_i0.p3	K01870
NODE_30182_length_578_cov_13.794411_g22952_i0.p1	K00653
NODE_30183_length_578_cov_8.658683_g22953_i0.p1	K03497
NODE_30184_length_578_cov_6.968064_g22954_i0.p1	K00058
NODE_30189_length_578_cov_5.041916_g22959_i0.p1	K22610
NODE_3018_length_2980_cov_761.205305_g2030_i0.p1	K08737
NODE_30190_length_578_cov_4.948104_g22960_i0.p1	K09378
NODE_30192_length_578_cov_4.039920_g22962_i0.p1	K24637
NODE_30194_length_578_cov_2.924152_g22964_i0.p1	K16087
NODE_30198_length_578_cov_2.433134_g22968_i0.p1	K18744
NODE_30199_length_578_cov_2.299401_g22969_i0.p1	K02275
NODE_3019_length_2980_cov_24.657251_g2031_i0.p1	K01769
NODE_301_length_6291_cov_15.059060_g180_i0.p2	K17554
NODE_301_length_6291_cov_15.059060_g180_i0.p1	K23028
NODE_30204_length_577_cov_38330.314000_g152_i33.p1	K02870
NODE_30205_length_577_cov_29566.214000_g22974_i0.p2	K02955
NODE_30206_length_577_cov_8084.130000_g22975_i0.p1	K08867
NODE_30207_length_577_cov_7862.298000_g22976_i0.p2	K12567
NODE_30209_length_577_cov_3922.458000_g22978_i0.p1	K04855
NODE_3020_length_2979_cov_14587.651275_g2032_i0.p1	K2482
NODE_3020_length_2979_cov_14587.651275_g2032_i0.p4	K20873
NODE_30211_length_577_cov_1752.310000_g22980_i0.p1	K04512
NODE_30214_length_577_cov_750.970000_g22983_i0.p1	K15840
NODE_30215_length_577_cov_661.216000_g22984_i0.p1	K1239
NODE_30217_length_577_cov_516.312000_g22986_i0.p1	K12543
NODE_30219_length_577_cov_379.344000_g22988_i0.p1	K00020
NODE_3021_length_2979_cov_4602.005858_g2033_i0.p1	K20872
NODE_30220_length_577_cov_294.028000_g22989_i0.p1	K01955
NODE_30223_length_577_cov_78.766000_g22992_i0.p1	K01232
NODE_30225_length_577_cov_27.384000_g22994_i0.p1	K13886
NODE_30226_length_577_cov_19.818000_g22995_i0.p1	K22404
NODE_30227_length_577_cov_14.628000_g22996_i0.p1	K13376
NODE_30229_length_577_cov_9.718000_g22998_i0.p1	K10661
NODE_3022_length_2979_cov_1031.442109_g2034_i0.p1	K01256
NODE_30231_length_577_cov_6.970000_g23000_i0.p1	K02996
NODE_30235_length_577_cov_5.972000_g23004_i0.p1	K04609
NODE_30237_length_577_cov_5.294000_g23006_i0.p1	K06894
NODE_30238_length_577_cov_5.066000_g23007_i0.p1	K24260
NODE_30239_length_577_cov_4.904000_g23008_i0.p1	K04080
NODE_3023_length_2979_cov_915.978980_g2034_i1.p1	K01256
NODE_30240_length_577_cov_4.668000_g23009_i0.p1	K01462
NODE_30241_length_577_cov_4.308000_g23010_i0.p1	K11720
NODE_30242_length_577_cov_4.276000_g23011_i0.p1	K20279
NODE_30248_length_577_cov_1.702000_g23017_i0.p1	K07386
NODE_3024_length_2979_cov_722.706409_g2035_i0.p1	K04911
NODE_30250_length_577_cov_1.168000_g23019_i0.p2	K01915
NODE_30251_length_576_cov_32079.464930_g23020_i0.p1	K02957
NODE_30252_length_576_cov_27040.244489_g23021_i0.p1	K02896
NODE_30254_length_576_cov_7095.619238_g23023_i0.p1	K05184
NODE_30255_length_576_cov_3676.234469_g23024_i0.p2	K16608
NODE_30256_length_576_cov_3520.024048_g23025_i0.p1	K02903
NODE_30257_length_576_cov_1572.052104_g23026_i0.p1	K01657
NODE_30258_length_576_cov_849.525050_g23027_i0.p1	K18626
NODE_30259_length_576_cov_816.757515_g23028_i0.p1	K01610
NODE_3025_length_2979_cov_142.071675_g2036_i0.p3	K24470
NODE_3025_length_2979_cov_142.071675_g2036_i0.p2	K11527
NODE_3025_length_2979_cov_142.071675_g2036_i0.p1	K20974
NODE_30260_length_576_cov_541.404810_g23029_i0.p2	K13121
NODE_30261_length_576_cov_503.787575_g23030_i0.p1	K04810
NODE_30262_length_576_cov_389.505010_g23031_i0.p1	K20483
NODE_30264_length_576_cov_273.074148_g23033_i0.p1	K21873
NODE_30265_length_576_cov_237.102204_g23034_i0.p1	K13178
NODE_30266_length_576_cov_224.402806_g23035_i0.p1	K14463
NODE_30267_length_576_cov_142.334669_g23036_i0.p1	K04372
NODE_30268_length_576_cov_83.212425_g23037_i0.p1	K11502
NODE_30269_length_576_cov_41.799599_g23038_i0.p1	K01610
NODE_3026_length_2979_cov_18.256375_g2037_i0.p1	K03469
NODE_30271_length_576_cov_31.404810_g23040_i0.p2	K15743
NODE_30273_length_576_cov_19.272545_g23042_i0.p1	K11394
NODE_30275_length_576_cov_15.769539_g23044_i0.p1	K10657
NODE_30276_length_576_cov_14.236473_g23045_i0.p2	K01300
NODE_30277_length_576_cov_9.563126_g23046_i0.p1	K03530
NODE_30278_length_576_cov_9.454910_g23047_i0.p1	K11217
NODE_3027_length_2978_cov_629.019304_g2038_i0.p2	K16481
NODE_30280_length_576_cov_8.168337_g23049_i0.p1	K02051
NODE_30281_length_576_cov_5.426854_g23050_i0.p2	K02877
NODE_30283_length_576_cov_4.997996_g23052_i0.p2	K06997
NODE_30286_length_576_cov_2.791583_g23055_i0.p1	K00336
NODE_3028_length_2978_cov_357.932437_g2039_i0.p1	K08740
NODE_30293_length_576_cov_1.012024_g23062_i0.p2	K07238
NODE_30295_length_575_cov_5247.375502_g23064_i0.p1	K04188
NODE_30296_length_575_cov_3107.815261_g23065_i0.p2	K16931
NODE_30297_length_575_cov_2883.722892_g23066_i0.p1	K12012
NODE_30299_length_575_cov_1395.732932_g23068_i0.p1	K00694
NODE_3029_length_2977_cov_1869.069310_g2040_i0.p1	K10396
NODE_302_length_6288_cov_1024.155692_g181_i0.p6	K03654
NODE_302_length_6288_cov_1024.155692_g181_i0.p3	K20478
NODE_302_length_6288_cov_1024.155692_g181_i0.p1	K20276
NODE_30300_length_575_cov_979.763052_g23069_i0.p1	K09228
NODE_30301_length_575_cov_918.825301_g23070_i0.p1	K09566
NODE_30302_length_575_cov_845.170683_g23071_i0.p1	K00616
NODE_30303_length_575_cov_812.901606_g23071_i1.p1	K00616
NODE_30304_length_575_cov_807.718876_g23072_i0.p1	K10408
NODE_30305_length_575_cov_587.813253_g23073_i0.p1	K06671
NODE_30308_length_575_cov_383.174699_g23074_i0.p2	K10383
NODE_30310_length_575_cov_122.889558_g23076_i0.p2	K04602
NODE_30312_length_575_cov_74.839357_g23078_i0.p1	K22025
NODE_30313_length_575_cov_40.736948_g23079_i0.p1	K03406
NODE_30314_length_575_cov_30.437751_g23080_i0.p1	K24745
NODE_30315_length_575_cov_27.178715_g23081_i0.p1	K14570
NODE_30316_length_575_cov_22.971888_g23082_i0.p4	K13191
NODE_30317_length_575_cov_22.315261_g23083_i0.p1	K09092
NODE_30318_length_575_cov_16.857430_g23084_i0.p1	K03530
NODE_30319_length_575_cov_8.881526_g23085_i0.p1	K03904
NODE_3031_length_2977_cov_64.568966_g2042_i0.p1	K11349
NODE_30320_length_575_cov_8.564257_g23086_i0.p1	K01231
NODE_30321_length_575_cov_8.548193_g23087_i0.p1	K07114
NODE_30326_length_575_cov_5.716867_g23092_i0.p1	K07042
NODE_30329_length_575_cov_3.333333_g23095_i0.p1	K15174
NODE_3032_length_2976_cov_1258.216281_g2043_i0.p2	K03098
NODE_30331_length_575_cov_2.628514_g23097_i0.p2	K03544
NODE_30332_length_575_cov_2.618474_g23098_i0.p1	K18990
NODE_30333_length_575_cov_2.453815_g23099_i0.p2	K01633
NODE_30335_length_575_cov_2.281124_g23101_i0.p1	K18443
NODE_30337_length_575_cov_1.676707_g23103_i0.p1	K08615
NODE_30338_length_575_cov_0.793173_g23104_i0.p2	K06225
NODE_3033_length_2975_cov_273.986542_g2044_i0.p3	K24756
NODE_3033_length_2975_cov_273.986542_g2044_i0.p2	K20276
NODE_30341_length_574_cov_20009.537223_g23105_i0.p2	K05404
NODE_30342_length_574_cov_15820.993964_g23106_i0.p2	K05404
NODE_30344_length_574_cov_817.237425_g23108_i0.p2	K10408
NODE_30345_length_574_cov_679.496982_g23109_i0.p1	K10350
NODE_30346_length_574_cov_651.352113_g23110_i0.p1	K12580
NODE_30347_length_574_cov_493.331992_g23111_i0.p2	K06171
NODE_30348_length_574_cov_376.482897_g23112_i0.p2	K25554
NODE_30349_length_574_cov_269.313883_g23113_i0.p1	K20283
NODE_30350_length_574_cov_188.177062_g23114_i0.p1	K20030
NODE_30351_length_574_cov_141.832998_g23115_i0.p2	K12035
NODE_30352_length_574_cov_65.102616_g23116_i0.p1	K10143
NODE_30356_length_574_cov_5.633803_g23120_i0.p1	K02014
NODE_30358_length_574_cov_4.084507_g23122_i0.p1	K14530
NODE_30360_length_574_cov_3.869215_g23124_i0.p1	K03687
NODE_30361_length_574_cov_3.503018_g23125_i0.p2	K24627
NODE_30362_length_574_cov_3.440644_g23126_i0.p1	K00526
NODE_30368_length_574_cov_2.490946_g23132_i0.p1	K11209
NODE_30369_length_574_cov_2.350101_g23133_i0.p1	K10155
NODE_3036_length_2974_cov_7056.649983_g2047_i0.p1	K11319
NODE_30372_length_574_cov_2.058350_g23136_i0.p2	K03631
NODE_30373_length_574_cov_2.052314_g23137_i0.p2	K01251
NODE_30376_length_573_cov_8175.328629_g23139_i0.p1	K10408
NODE_30377_length_573_cov_3176.320565_g23140_i0.p2	K16453
NODE_30378_length_573_cov_3002.191532_g23141_i0.p1	K23930
NODE_30379_length_573_cov_1090.245968_g23142_i0.p1	K22937
NODE_3037_length_2974_cov_2329.257508_g2048_i0.p1	K03165
NODE_30381_length_573_cov_274.893145_g23144_i0.p1	K09638
NODE_30382_length_573_cov_149.977823_g23145_i0.p1	K12035
NODE_30383_length_573_cov_88.574597_g23146_i0.p1	K11422
NODE_30385_length_573_cov_79.858871_g23148_i0.p1	K09228
NODE_30387_length_573_cov_11.522177_g23150_i0.p1	K10625
NODE_30388_length_573_cov_11.326613_g23151_i0.p1	K04613
NODE_3038_length_2974_cov_1256.381084_g1985_i2.p1	K16608
NODE_30390_length_573_cov_7.955645_g23153_i0.p1	K11985
NODE_30392_length_573_cov_6.100806_g23155_i0.p2	K07622
NODE_30394_length_573_cov_5.191532_g23157_i0.p1	K03651
NODE_30398_length_573_cov_3.163306_g23161_i0.p1	K03070
NODE_3039_length_2974_cov_919.839834_g2049_i0.p6	K10408
NODE_3039_length_2974_cov_919.839834_g2049_i0.p2	K03529
NODE_303_length_6287_cov_1408.676490_g177_i1.p1	K14376
NODE_30401_length_573_cov_2.397177_g23164_i0.p2	K21395
NODE_30402_length_573_cov_2.058468_g23165_i0.p2	K10595
NODE_30403_length_573_cov_2.032258_g23166_i0.p1	K03469
NODE_30404_length_573_cov_1.596774_g23167_i0.p1	K04744
NODE_30405_length_572_cov_23555.955556_g158_i8.p3	K09512
NODE_30406_length_572_cov_6594.577778_g23168_i0.p1	K01369
NODE_30407_length_572_cov_3041.321212_g5006_i1.p1	K09487
NODE_30408_length_572_cov_2712.252525_g23169_i0.p1	K00469
NODE_30409_length_572_cov_1082.907071_g23170_i0.p1	K19535
NODE_3040_length_2974_cov_659.996203_g470_i2.p1	K13510
NODE_30411_length_572_cov_690.351515_g23172_i0.p1	K01925
NODE_30413_length_572_cov_233.436364_g23174_i0.p1	K21449
NODE_30414_length_572_cov_145.519192_g23175_i0.p1	K20276
NODE_30415_length_572_cov_132.286869_g23176_i0.p1	K10615
NODE_30416_length_572_cov_84.395960_g23177_i0.p1	K11420
NODE_30417_length_572_cov_83.800000_g23178_i0.p1	K01017
NODE_30418_length_572_cov_79.612121_g23179_i0.p3	K01874
NODE_3041_length_2974_cov_585.617190_g470_i3.p1	K13510
NODE_30420_length_572_cov_18.387879_g23181_i0.p2	K19670
NODE_30421_length_572_cov_11.933333_g23182_i0.p1	K16506
NODE_30422_length_572_cov_11.551515_g23183_i0.p1	K10819
NODE_30423_length_572_cov_8.359596_g23184_i0.p1	K20173
NODE_30425_length_572_cov_6.503030_g23186_i0.p3	K09592
NODE_30426_length_572_cov_6.361616_g23187_i0.p2	K00406
NODE_30428_length_572_cov_5.567677_g23189_i0.p1	K22762
NODE_30429_length_572_cov_5.050505_g23190_i0.p1	K10396
NODE_3042_length_2974_cov_344.782534_g98_i15.p1	K04527
NODE_3042_length_2974_cov_344.782534_g98_i15.p3	K09291
NODE_30431_length_572_cov_4.028283_g23192_i0.p2	K02519
NODE_30434_length_572_cov_3.288889_g23195_i0.p1	K01672
NODE_30436_length_572_cov_2.561616_g23197_i0.p1	K03406
NODE_30439_length_572_cov_2.094949_g23200_i0.p2	K00114
NODE_3043_length_2974_cov_318.748015_g387_i1.p1	K20276
NODE_3043_length_2974_cov_318.748015_g387_i1.p3	K01838
NODE_30443_length_572_cov_0.438384_g23204_i0.p2	K07374
NODE_30444_length_571_cov_80598.000000_g4744_i3.p2	K03320
NODE_30445_length_571_cov_7610.704453_g23205_i0.p1	K21440
NODE_30446_length_571_cov_5474.991903_g23206_i0.p1	K09568
NODE_3044_length_2973_cov_5704.007942_g2050_i0.p1	K07720
NODE_3044_length_2973_cov_5704.007942_g2050_i0.p2	K14007
NODE_30450_length_571_cov_716.921053_g23208_i0.p1	K15288
NODE_30451_length_571_cov_703.815789_g23209_i0.p2	K22900
NODE_30453_length_571_cov_461.848178_g23210_i0.p2	K10421
NODE_30454_length_571_cov_346.838057_g23211_i0.p1	K10637
NODE_30455_length_571_cov_296.621457_g23212_i0.p2	K08109
NODE_30456_length_571_cov_245.024291_g23213_i0.p1	K00024
NODE_30457_length_571_cov_241.708502_g23214_i0.p1	K00710
NODE_30459_length_571_cov_108.518219_g23215_i0.p1	K08023
NODE_3045_length_2973_cov_1809.545235_g2051_i0.p1	K16608
NODE_30461_length_571_cov_51.840081_g23217_i0.p1	K14297
NODE_30463_length_571_cov_11.585020_g23219_i0.p1	K20718
NODE_30464_length_571_cov_10.008097_g23220_i0.p1	K13893
NODE_30466_length_571_cov_6.589069_g23222_i0.p2	K20032
NODE_30468_length_571_cov_3.858300_g23224_i0.p1	K19754
NODE_3046_length_2972_cov_1341.620035_g2052_i0.p1	K02478
NODE_30474_length_571_cov_2.892713_g23230_i0.p1	K10400
NODE_30475_length_571_cov_2.744939_g23231_i0.p2	K04771
NODE_30479_length_571_cov_1.453441_g23235_i0.p2	K01657
NODE_3047_length_2972_cov_885.528497_g1998_i1.p2	K01881
NODE_3047_length_2972_cov_885.528497_g1998_i1.p1	K22858
NODE_30480_length_570_cov_41610.693712_g1864_i7.p2	K08654
NODE_30481_length_570_cov_29777.900609_g23236_i0.p4	K04079
NODE_30483_length_570_cov_3959.239351_g23237_i0.p1	K06800
NODE_30484_length_570_cov_3263.890467_g23238_i0.p1	K14570
NODE_30485_length_570_cov_3133.760649_g23238_i1.p1	K14570
NODE_30486_length_570_cov_1638.987830_g23239_i0.p2	K12484
NODE_30487_length_570_cov_1609.322515_g23240_i0.p1	K19533
NODE_30488_length_570_cov_661.194726_g23241_i0.p1	K19505
NODE_30489_length_570_cov_619.125761_g23242_i0.p1	K1674
NODE_3048_length_2971_cov_1183.995508_g2053_i0.p1	K07198
NODE_30491_length_570_cov_263.501014_g23244_i0.p1	K12813
NODE_30492_length_570_cov_198.578093_g23245_i0.p1	K14836
NODE_30493_length_570_cov_173.797160_g23246_i0.p2	K08283
NODE_30494_length_570_cov_151.113590_g23247_i0.p1	K18405
NODE_30498_length_570_cov_31.914807_g23251_i0.p2	K25639
NODE_30499_length_570_cov_30.718053_g23252_i0.p1	K11000
NODE_3049_length_2971_cov_206.766759_g2054_i0.p1	K00766
NODE_304_length_6284_cov_4797.422910_g123_i1.p1	K10408
NODE_30500_length_570_cov_28.555781_g23253_i0.p1	K00688
NODE_30501_length_570_cov_25.275862_g23254_i0.p1	K01585
NODE_30503_length_570_cov_16.882353_g23256_i0.p1	K00381
NODE_30504_length_570_cov_12.661258_g23257_i0.p3	K02178
NODE_30506_length_570_cov_12.004057_g23259_i0.p1	K00197
NODE_30507_length_570_cov_11.904665_g23260_i0.p2	K03555
NODE_30508_length_570_cov_6.509128_g23261_i0.p1	K12574
NODE_30509_length_570_cov_5.971602_g23262_i0.p1	K09103
NODE_3050_length_2971_cov_15.525916_g2055_i0.p1	K03583
NODE_30511_length_570_cov_4.701826_g23264_i0.p1	K23901
NODE_30512_length_570_cov_4.229209_g23265_i0.p1	K14772
NODE_30514_length_570_cov_3.760649_g23267_i0.p2	K01890
NODE_3051_length_2970_cov_15296.477359_g152_i5.p2	K17656
NODE_3051_length_2970_cov_15296.477359_g152_i5.p1	K0814
NODE_30521_length_569_cov_33052.256098_g16002_i16.p1	K13150
NODE_30522_length_569_cov_31415.528455_g16002_i17.p1	K13150
NODE_30523_length_569_cov_10960.729675_g23274_i0.p1	K2206
NODE_30524_length_569_cov_5378.361789_g22813_i1.p1	K06669
NODE_30525_length_569_cov_4370.656504_g23275_i0.p1	K08176
NODE_30526_length_569_cov_4228.186992_g23276_i0.p1	K03631
NODE_30527_length_569_cov_1178.313008_g23277_i0.p1	K1159
NODE_30528_length_569_cov_1146.841463_g23278_i0.p2	K1159
NODE_30529_length_569_cov_777.038618_g23279_i0.p2	K06639
NODE_3052_length_2970_cov_69.238507_g1966_i4.p1	K23792
NODE_30530_length_569_cov_735.611789_g23280_i0.p1	K25232
NODE_30531_length_569_cov_491.170732_g23281_i0.p1	K17552
NODE_30532_length_569_cov_312.063008_g23282_i0.p1	K05780
NODE_30535_length_569_cov_176.768293_g23285_i0.p1	K04257
NODE_30536_length_569_cov_136.835366_g23286_i0.p1	K04646
NODE_30537_length_569_cov_106.804878_g23287_i0.p2	K04490
NODE_30538_length_569_cov_77.896341_g23288_i0.p1	K07525
NODE_3053_length_2969_cov_1445.636238_g2056_i0.p1	K16582
NODE_30543_length_569_cov_8.333333_g23293_i0.p1	K03574
NODE_30546_length_569_cov_7.628049_g23296_i0.p1	K0911
